packet_number,timestamp,datetime,protocols,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,rolling_iat_mean,rolling_iat_std,requests_per_second,flow_id,flow_pkt_count,unique_func_codes,round_trip_time
14,1535073408.181907,2018-08-23T21:16:48.181907,TCP,172.27.224.250,172.27.224.251,502.0,53338.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.008478879928588867,0.6323950290679932,0.03204028606414795,0.06435811292610726,7,172.27.224.250_172.27.224.251,6,,
15,1535073408.267853,2018-08-23T21:16:48.267853,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.08594608306884766,0.7183411121368408,0.031208395957946777,0.06351264247237771,8,172.27.224.250_172.27.224.70,8,1.0,0.006018877029418945
16,1535073408.273872,2018-08-23T21:16:48.273872,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.006018877029418945,0.7243599891662598,0.030995893478393554,0.06360187906519937,8,172.27.224.250_172.27.224.70,9,1.0,0.006018877029418945
17,1535073408.329481,2018-08-23T21:16:48.329481,ARP,,,,,,,,,,,,,,,,60,0,0,0,Unknown,0.05560898780822754,0.7799689769744873,0.016958284378051757,0.02947808909198937,8,None_None,2,,
18,1535073408.331771,2018-08-23T21:16:48.331771,ARP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.002290010452270508,0.7822589874267578,0.0170137882232666,0.029446746362571864,8,None_None,3,,
19,1535073408.469929,2018-08-23T21:16:48.469929,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.13815808296203613,0.920417070388794,0.029803895950317384,0.04807218567824361,9,172.27.224.250_172.27.224.70,10,1.0,
20,1535073408.579764,2018-08-23T21:16:48.579764,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.10983490943908691,1.0302519798278809,0.040700888633728026,0.052892420421034717,9,172.27.224.250_172.27.224.70,11,1.0,0.00347900390625
21,1535073408.583243,2018-08-23T21:16:48.583243,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.00347900390625,1.0337309837341309,0.04104847908020019,0.0526058971222255,9,172.27.224.250_172.27.224.70,12,1.0,0.00347900390625
22,1535073408.78189,2018-08-23T21:16:48.781890,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.19864702224731445,1.2323780059814453,0.060896682739257815,0.07002598930023037,9,172.27.224.250_172.27.224.70,13,1.0,
23,1535073408.891736,2018-08-23T21:16:48.891736,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.10984611511230469,1.34222412109375,0.07183079719543457,0.06805724064380111,9,172.27.224.250_172.27.224.70,14,1.0,0.012130975723266602
24,1535073408.903867,2018-08-23T21:16:48.903867,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.012130975723266602,1.3543550968170166,0.07219600677490234,0.06768830648928661,9,172.27.224.250_172.27.224.70,15,1.0,0.012130975723266602
25,1535073409.109491,2018-08-23T21:16:49.109491,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20562410354614258,1.5599792003631592,0.08416380882263183,0.07987286500005851,9,172.27.224.250_172.27.224.70,16,1.0,
26,1535073409.20373,2018-08-23T21:16:49.203730,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.0942389965057373,1.6542181968688965,0.09298582077026367,0.07500642280920604,7,172.27.224.250_172.27.224.70,17,1.0,0.009500980377197266
27,1535073409.213231,2018-08-23T21:16:49.213231,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.009500980377197266,1.6637191772460938,0.08837502002716065,0.07887667396495078,7,172.27.224.250_172.27.224.70,18,1.0,0.009500980377197266
28,1535073409.421487,2018-08-23T21:16:49.421487,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20825600624084473,1.8719751834869385,0.10897161960601806,0.08076879905143307,7,172.27.224.250_172.27.224.70,19,1.0,
29,1535073409.515718,2018-08-23T21:16:49.515718,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09423089027404785,1.9662060737609863,0.10457890033721924,0.08019758221221056,7,172.27.224.250_172.27.224.70,20,1.0,0.008198022842407227
30,1535073409.523916,2018-08-23T21:16:49.523916,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.008198022842407227,1.9744040966033936,0.09441521167755126,0.08570849301715337,7,172.27.224.250_172.27.224.70,21,1.0,0.008198022842407227
31,1535073409.609488,2018-08-23T21:16:49.609488,ARP,,,,,,,,,,,,,,,,60,0,0,0,Unknown,0.0855720043182373,2.059976100921631,0.10262451171875,0.0797554556394825,6,None_None,4,,
32,1535073409.611784,2018-08-23T21:16:49.611784,ARP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.002295970916748047,2.062272071838379,0.08298940658569336,0.07763054551581124,6,None_None,5,,
33,1535073409.61179,2018-08-23T21:16:49.611790,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,5.9604644775390625e-06,2.0622780323028564,0.07200539112091064,0.08110144398886118,7,172.27.224.250_172.27.224.251,7,,
34,1535073409.622014,2018-08-23T21:16:49.622014,TCP,172.27.224.250,172.27.224.251,502.0,53339.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.010224103927612305,2.0725021362304688,0.07181470394134522,0.08125995061512443,7,172.27.224.250_172.27.224.251,8,,
35,1535073409.622019,2018-08-23T21:16:49.622019,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,5.0067901611328125e-06,2.07250714302063,0.05125279426574707,0.06867991138691142,8,172.27.224.250_172.27.224.251,9,,
36,1535073409.622196,2018-08-23T21:16:49.622196,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00017690658569335938,2.0726840496063232,0.04184658527374267,0.06857966745674658,9,172.27.224.250_172.27.224.251,10,,
37,1535073409.622452,2018-08-23T21:16:49.622452,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002560615539550781,2.0729401111602783,0.04092209339141846,0.06912430329249818,10,172.27.224.250_172.27.224.251,11,,
38,1535073409.622697,2018-08-23T21:16:49.622697,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024509429931640625,2.0731852054595947,0.020121002197265626,0.03701448615523437,11,172.27.224.250_172.27.224.251,12,,
39,1535073409.622946,2018-08-23T21:16:49.622946,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024890899658203125,2.0734341144561768,0.010722804069519042,0.026562322867307978,12,172.27.224.250_172.27.224.251,13,,
40,1535073409.623195,2018-08-23T21:16:49.623195,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024890899658203125,2.073683023452759,0.009927892684936523,0.026764450056879427,13,172.27.224.250_172.27.224.251,14,,
41,1535073409.623452,2018-08-23T21:16:49.623452,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002570152282714844,2.0739400386810303,0.0013963937759399413,0.003173704307328613,14,172.27.224.250_172.27.224.251,15,,
42,1535073409.623696,2018-08-23T21:16:49.623696,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.000244140625,2.0741841793060303,0.0011912107467651368,0.0031754096640377464,15,172.27.224.250_172.27.224.251,16,,
43,1535073409.623945,2018-08-23T21:16:49.623945,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024890899658203125,2.0744330883026123,0.001215505599975586,0.003166249986059375,16,172.27.224.250_172.27.224.251,17,,
44,1535073409.624192,2018-08-23T21:16:49.624192,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024700164794921875,2.0746800899505615,0.00021779537200927734,7.828002050690911e-05,17,172.27.224.250_172.27.224.251,18,,
45,1535073409.624451,2018-08-23T21:16:49.624451,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002589225769042969,2.074939012527466,0.00024318695068359375,2.38397386190987e-05,18,172.27.224.250_172.27.224.251,19,,
46,1535073409.624691,2018-08-23T21:16:49.624691,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024008750915527344,2.075179100036621,0.00024950504302978516,6.076686619450392e-06,19,172.27.224.250_172.27.224.251,20,,
47,1535073409.624941,2018-08-23T21:16:49.624941,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00025010108947753906,2.0754292011260986,0.00024890899658203125,5.6386543372497525e-06,20,172.27.224.250_172.27.224.251,21,,
48,1535073409.633608,2018-08-23T21:16:49.633608,TCP,172.27.224.250,172.27.224.251,502.0,53339.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.0086669921875,2.0840961933135986,0.0010910987854003905,0.0026619032414839663,20,172.27.224.250_172.27.224.251,22,,
49,1535073409.642892,2018-08-23T21:16:49.642892,TCP,172.27.224.250,172.27.224.251,502.0,53339.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.009283781051635742,2.0933799743652344,0.0019945859909057616,0.003682080142364934,20,172.27.224.250_172.27.224.251,23,,
50,1535073409.643781,2018-08-23T21:16:49.643781,Modbus/TCP,172.27.224.250,172.27.224.251,502.0,53339.0,12.0,1.0,0.0,6.0,1.0,6.0,6.0,,,,,66,0,1,0,Write Single Register,0.0008890628814697266,2.094269037246704,0.002058601379394531,0.003653814461179741,20,172.27.224.250_172.27.224.251,24,1.0,
51,1535073409.717888,2018-08-23T21:16:49.717888,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.07410717010498047,2.1683762073516846,0.00944361686706543,0.02300366938426395,21,172.27.224.250_172.27.224.70,22,1.0,
52,1535073409.82805,2018-08-23T21:16:49.828050,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.11016178131103516,2.2785379886627197,0.020435380935668945,0.038892799617382005,21,172.27.224.250_172.27.224.70,23,1.0,0.005228996276855469
53,1535073409.833279,2018-08-23T21:16:49.833279,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.005228996276855469,2.283766984939575,0.02093338966369629,0.03863663937078495,21,172.27.224.250_172.27.224.70,24,1.0,0.005228996276855469
54,1535073409.846045,2018-08-23T21:16:49.846045,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.012766122817993164,2.2965331077575684,0.022185301780700682,0.03809084736363355,22,172.27.224.250_172.27.224.251,25,1.0,
55,1535073410.04546,2018-08-23T21:16:50.045460,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.19941496849060059,2.495948076248169,0.04210090637207031,0.06668457215431164,22,172.27.224.250_172.27.224.70,25,1.0,
56,1535073410.139758,2018-08-23T21:16:50.139758,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09429812431335449,2.5902462005615234,0.05150671005249023,0.06675745438760834,22,172.27.224.250_172.27.224.70,26,1.0,0.0041768550872802734
57,1535073410.143935,2018-08-23T21:16:50.143935,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.0041768550872802734,2.5944230556488037,0.051899385452270505,0.06643321852788807,22,172.27.224.250_172.27.224.70,27,1.0,0.0041768550872802734
58,1535073410.159911,2018-08-23T21:16:50.159911,STP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.0159759521484375,2.610399007797241,0.052630281448364256,0.0659431268924057,22,None_None,6,,
59,1535073410.357452,2018-08-23T21:16:50.357452,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.1975409984588623,2.8079400062561035,0.07145600318908692,0.07796906984780935,22,172.27.224.250_172.27.224.70,28,1.0,
60,1535073410.451666,2018-08-23T21:16:50.451666,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09421420097351074,2.9021542072296143,0.08078851699829101,0.07407193728503203,22,172.27.224.250_172.27.224.70,29,1.0,0.01160883903503418
61,1535073410.463275,2018-08-23T21:16:50.463275,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.01160883903503418,2.9137630462646484,0.07453868389129639,0.07726609889535267,22,172.27.224.250_172.27.224.70,30,1.0,0.01160883903503418
62,1535073410.669461,2018-08-23T21:16:50.669461,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20618605613708496,3.1199491024017334,0.08414111137390137,0.0874772413325736,8,172.27.224.250_172.27.224.70,31,1.0,
63,1535073410.763747,2018-08-23T21:16:50.763747,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09428596496582031,3.2142350673675537,0.09304680824279785,0.08296792655968613,8,172.27.224.250_172.27.224.70,32,1.0,0.010195016860961914
64,1535073410.773942,2018-08-23T21:16:50.773942,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.010195016860961914,3.2244300842285156,0.09278969764709473,0.08324786374492328,8,172.27.224.250_172.27.224.70,33,1.0,0.010195016860961914
65,1535073410.98144,2018-08-23T21:16:50.981440,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20749807357788086,3.4319281578063965,0.09359800815582275,0.08442905689280873,7,172.27.224.250_172.27.224.70,34,1.0,
66,1535073411.061213,2018-08-23T21:16:51.061213,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.07977294921875,3.5117011070251465,0.09214549064636231,0.08454054573011356,7,172.27.224.250_172.27.224.251,26,1.0,
67,1535073411.061894,2018-08-23T21:16:51.061894,TCP,172.27.224.250,172.27.224.251,502.0,53339.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.0006809234619140625,3.5123820304870605,0.09179589748382569,0.08495096553334475,7,172.27.224.250_172.27.224.251,27,1.0,
68,1535073411.062789,2018-08-23T21:16:51.062789,TCP,172.27.224.250,172.27.224.251,502.0,53339.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.0008950233459472656,3.513277053833008,0.09028780460357666,0.08656504315795167,7,172.27.224.250_172.27.224.251,28,1.0,
69,1535073411.062793,2018-08-23T21:16:51.062793,TCP,172.27.224.251,172.27.224.250,53339.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,4.0531158447265625e-06,3.5132811069488525,0.0705341100692749,0.0817770573540827,8,172.27.224.250_172.27.224.251,29,1.0,
70,1535073411.062976,2018-08-23T21:16:51.062976,TCP,172.27.224.250,172.27.224.251,502.0,53339.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.00018286705017089844,3.5134639739990234,0.06113097667694092,0.08412407866333599,8,172.27.224.250_172.27.224.251,30,1.0,
71,1535073411.071929,2018-08-23T21:16:51.071929,TCP,172.27.224.250,172.27.224.251,502.0,53339.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.008953094482421875,3.5224170684814453,0.06086540222167969,0.08430179217441515,8,172.27.224.250_172.27.224.251,31,1.0,
72,1535073411.07569,2018-08-23T21:16:51.075690,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.0037610530853271484,3.5261781215667725,0.040622901916503903,0.06831817354132193,9,172.27.224.250_172.27.224.70,35,1.0,0.008218050003051758
73,1535073411.083908,2018-08-23T21:16:51.083908,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.008218050003051758,3.534396171569824,0.03201611042022705,0.06619494527302892,9,172.27.224.250_172.27.224.70,36,1.0,0.008218050003051758
74,1535073411.277862,2018-08-23T21:16:51.277862,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.1939539909362793,3.7283501625061035,0.05039200782775879,0.08286999053663738,9,172.27.224.250_172.27.224.70,37,1.0,
75,1535073411.387651,2018-08-23T21:16:51.387651,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.10978889465332031,3.838139057159424,0.04062108993530274,0.06641442605033357,9,172.27.224.250_172.27.224.70,38,1.0,0.0056209564208984375
76,1535073411.393272,2018-08-23T21:16:51.393272,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.0056209564208984375,3.8437600135803223,0.03320589065551758,0.06569303476138348,9,172.27.224.250_172.27.224.70,39,1.0,0.0056209564208984375
77,1535073411.58985,2018-08-23T21:16:51.589850,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.1965780258178711,4.040338039398193,0.05279560089111328,0.08208071023277996,9,172.27.224.250_172.27.224.70,40,1.0,
78,1535073411.69962,2018-08-23T21:16:51.699620,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.10977005958557129,4.150108098983765,0.06368310451507568,0.08165117443072156,9,172.27.224.250_172.27.224.70,41,1.0,0.0043048858642578125
79,1535073411.703925,2018-08-23T21:16:51.703925,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.0043048858642578125,4.1544129848480225,0.064113187789917,0.0812890112295154,9,172.27.224.250_172.27.224.70,42,1.0,0.0043048858642578125
80,1535073411.761505,2018-08-23T21:16:51.761505,DHCPv6,,,,,,,,,,,,,,,,146,0,0,0,Unknown,0.057579994201660156,4.211992979049683,0.06985290050506592,0.07824270204384767,9,None_None,7,,
81,1535073411.901815,2018-08-23T21:16:51.901815,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.14031004905700684,4.3523030281066895,0.08298859596252442,0.07790823823580645,9,172.27.224.250_172.27.224.70,43,1.0,
82,1535073412.011661,2018-08-23T21:16:52.011661,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.10984611511230469,4.462149143218994,0.09359710216522217,0.07298870613630003,9,172.27.224.250_172.27.224.70,44,1.0,0.01162099838256836
83,1535073412.023282,2018-08-23T21:16:52.023282,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.01162099838256836,4.4737701416015625,0.09393739700317383,0.07255304729687782,9,172.27.224.250_172.27.224.70,45,1.0,0.01162099838256836
84,1535073412.159821,2018-08-23T21:16:52.159821,STP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.13653898239135742,4.61030912399292,0.08819589614868165,0.06570762660245812,6,None_None,8,,
85,1535073412.22942,2018-08-23T21:16:52.229420,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.06959891319274902,4.679908037185669,0.08417689800262451,0.06546881910346021,7,172.27.224.250_172.27.224.70,46,1.0,
86,1535073412.323676,2018-08-23T21:16:52.323676,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09425616264343262,4.774164199829102,0.09304041862487793,0.05936743599811369,7,172.27.224.250_172.27.224.70,47,1.0,0.010283946990966797
87,1535073412.33396,2018-08-23T21:16:52.333960,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.010283946990966797,4.784448146820068,0.0744110107421875,0.052045366136305074,7,172.27.224.250_172.27.224.70,48,1.0,0.010283946990966797
88,1535073412.499774,2018-08-23T21:16:52.499774,ARP,,,,,,,,,,,,,,,,60,0,0,0,Unknown,0.16581392288208008,4.950262069702148,0.08001539707183838,0.0588487890723928,6,None_None,9,,
89,1535073412.501803,2018-08-23T21:16:52.501803,ARP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.002028942108154297,4.952291011810303,0.07978780269622802,0.05917761160370839,6,None_None,10,,
90,1535073412.501809,2018-08-23T21:16:52.501809,TCP,172.27.224.251,172.27.224.250,53340.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,5.9604644775390625e-06,4.95229697227478,0.07403039932250977,0.06416851607010833,7,172.27.224.250_172.27.224.251,32,1.0,
