packet_number,timestamp,datetime,protocols,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,requests_per_second,flow_id,flow_pkt_count,unique_func_codes,round_trip_time,transaction_id_delta,transaction_id_repeats,func_code_entropy,consecutive_same_func_code,flow_request_count,flow_response_count,response_rate,flow_exception_count,exception_rate
24,1535069784.040553,2018-08-23T20:16:24.040553,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30867719650268555,1.5607130527496338,4,172.27.224.250_172.27.224.70,11,1.0,0.01065683364868164,0.0,22993,-0.0,10,11484,11509,1.0021769418321143,0,0.0
25,1535069784.05121,2018-08-23T20:16:24.051210,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.01065683364868164,1.5713698863983154,4,172.27.224.250_172.27.224.70,12,1.0,0.01065683364868164,0.0,22993,-0.0,11,11484,11509,1.0021769418321143,0,0.0
28,1535069784.351813,2018-08-23T20:16:24.351813,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30060315132141113,1.8719730377197266,4,172.27.224.250_172.27.224.70,13,1.0,0.01007390022277832,0.0,22993,-0.0,12,11484,11509,1.0021769418321143,0,0.0
29,1535069784.361887,2018-08-23T20:16:24.361887,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.01007390022277832,1.8820469379425049,4,172.27.224.250_172.27.224.70,14,1.0,0.01007390022277832,0.0,22993,-0.0,13,11484,11509,1.0021769418321143,0,0.0
50,1535069784.612075,2018-08-23T20:16:24.612075,Modbus/TCP,172.27.224.250,172.27.224.251,502,52087,12,1,0,6,1,6,6.0,,,,,66,0,1,0,Write Single Register,0.25018811225891113,2.132235050201416,3,172.27.224.250_172.27.224.251,1,1.0,,0.0,1241,-0.0,0,0,1241,1241.0,0,0.0
51,1535069784.664244,2018-08-23T20:16:24.664244,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.052168846130371094,2.184403896331787,4,172.27.224.250_172.27.224.70,15,1.0,0.0069751739501953125,0.0,22993,-0.0,14,11484,11509,1.0021769418321143,0,0.0
52,1535069784.671219,2018-08-23T20:16:24.671219,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0069751739501953125,2.1913790702819824,4,172.27.224.250_172.27.224.70,16,1.0,0.0069751739501953125,0.0,22993,-0.0,15,11484,11509,1.0021769418321143,0,0.0
55,1535069784.991862,2018-08-23T20:16:24.991862,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.32064294815063477,2.512022018432617,4,172.27.224.250_172.27.224.70,17,1.0,0.01005101203918457,0.0,22993,-0.0,16,11484,11509,1.0021769418321143,0,0.0
56,1535069785.001913,2018-08-23T20:16:25.001913,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.01005101203918457,2.5220730304718018,4,172.27.224.250_172.27.224.70,18,1.0,0.01005101203918457,0.0,22993,-0.0,17,11484,11509,1.0021769418321143,0,0.0
58,1535069785.30338,2018-08-23T20:16:25.303380,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3014669418334961,2.823539972305298,4,172.27.224.250_172.27.224.70,19,1.0,0.00785207748413086,0.0,22993,-0.0,18,11484,11509,1.0021769418321143,0,0.0
59,1535069785.311232,2018-08-23T20:16:25.311232,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.00785207748413086,2.8313920497894287,4,172.27.224.250_172.27.224.70,20,1.0,0.00785207748413086,0.0,22993,-0.0,19,11484,11509,1.0021769418321143,0,0.0
62,1535069785.615403,2018-08-23T20:16:25.615403,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3041708469390869,3.1355628967285156,4,172.27.224.250_172.27.224.70,21,1.0,0.006512165069580078,0.0,22993,-0.0,20,11484,11509,1.0021769418321143,0,0.0
63,1535069785.621915,2018-08-23T20:16:25.621915,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.006512165069580078,3.1420750617980957,4,172.27.224.250_172.27.224.70,22,1.0,0.006512165069580078,0.0,22993,-0.0,21,11484,11509,1.0021769418321143,0,0.0
65,1535069785.927353,2018-08-23T20:16:25.927353,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3054378032684326,3.4475128650665283,4,172.27.224.250_172.27.224.70,23,1.0,0.0038909912109375,0.0,22993,-0.0,22,11484,11509,1.0021769418321143,0,0.0
66,1535069785.931244,2018-08-23T20:16:25.931244,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0038909912109375,3.451403856277466,4,172.27.224.250_172.27.224.70,24,1.0,0.0038909912109375,0.0,22993,-0.0,23,11484,11509,1.0021769418321143,0,0.0
75,1535069786.239366,2018-08-23T20:16:26.239366,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3081221580505371,3.759526014328003,4,172.27.224.250_172.27.224.70,25,1.0,0.0025599002838134766,0.0,22993,-0.0,24,11484,11509,1.0021769418321143,0,0.0
76,1535069786.241926,2018-08-23T20:16:26.241926,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0025599002838134766,3.7620859146118164,4,172.27.224.250_172.27.224.70,26,1.0,0.0025599002838134766,0.0,22993,-0.0,25,11484,11509,1.0021769418321143,0,0.0
78,1535069786.551609,2018-08-23T20:16:26.551609,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30968308448791504,4.0717689990997314,4,172.27.224.250_172.27.224.70,27,1.0,0.009671926498413086,0.0,22993,-0.0,26,11484,11509,1.0021769418321143,0,0.0
79,1535069786.561281,2018-08-23T20:16:26.561281,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.009671926498413086,4.0814409255981445,4,172.27.224.250_172.27.224.70,28,1.0,0.009671926498413086,0.0,22993,-0.0,27,11484,11509,1.0021769418321143,0,0.0
81,1535069786.863408,2018-08-23T20:16:26.863408,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3021271228790283,4.383568048477173,4,172.27.224.250_172.27.224.70,29,1.0,0.008484840393066406,0.0,22993,-0.0,28,11484,11509,1.0021769418321143,0,0.0
82,1535069786.871893,2018-08-23T20:16:26.871893,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.008484840393066406,4.392052888870239,4,172.27.224.250_172.27.224.70,30,1.0,0.008484840393066406,0.0,22993,-0.0,29,11484,11509,1.0021769418321143,0,0.0
84,1535069787.17536,2018-08-23T20:16:27.175360,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3034670352935791,4.695519924163818,4,172.27.224.250_172.27.224.70,31,1.0,0.005908966064453125,0.0,22993,-0.0,30,11484,11509,1.0021769418321143,0,0.0
85,1535069787.181269,2018-08-23T20:16:27.181269,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.005908966064453125,4.7014288902282715,4,172.27.224.250_172.27.224.70,32,1.0,0.005908966064453125,0.0,22993,-0.0,31,11484,11509,1.0021769418321143,0,0.0
90,1535069787.487727,2018-08-23T20:16:27.487727,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3064579963684082,5.00788688659668,4,172.27.224.250_172.27.224.70,33,1.0,0.005112171173095703,0.0,22993,-0.0,32,11484,11509,1.0021769418321143,0,0.0
102,1535069787.492839,2018-08-23T20:16:27.492839,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.005112171173095703,5.012999057769775,4,172.27.224.250_172.27.224.70,34,1.0,0.005112171173095703,0.0,22993,-0.0,33,11484,11509,1.0021769418321143,0,0.0
108,1535069787.511817,2018-08-23T20:16:27.511817,Modbus/TCP,172.27.224.250,172.27.224.251,502,52088,12,1,0,6,1,6,6.0,,,,,66,0,1,0,Write Single Register,0.018977880477905273,5.031976938247681,4,172.27.224.250_172.27.224.251,2,1.0,,0.0,1241,-0.0,1,0,1241,1241.0,0,0.0
111,1535069787.799348,2018-08-23T20:16:27.799348,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.28753113746643066,5.319508075714111,4,172.27.224.250_172.27.224.70,35,1.0,0.0019278526306152344,0.0,22993,-0.0,34,11484,11509,1.0021769418321143,0,0.0
112,1535069787.801276,2018-08-23T20:16:27.801276,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0019278526306152344,5.321435928344727,4,172.27.224.250_172.27.224.70,36,1.0,0.0019278526306152344,0.0,22993,-0.0,35,11484,11509,1.0021769418321143,0,0.0
114,1535069788.111632,2018-08-23T20:16:28.111632,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.31035614013671875,5.631792068481445,4,172.27.224.250_172.27.224.70,37,1.0,0.010360002517700195,0.0,22993,-0.0,36,11484,11509,1.0021769418321143,0,0.0
115,1535069788.121992,2018-08-23T20:16:28.121992,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.010360002517700195,5.6421520709991455,4,172.27.224.250_172.27.224.70,38,1.0,0.010360002517700195,0.0,22993,-0.0,37,11484,11509,1.0021769418321143,0,0.0
118,1535069788.423353,2018-08-23T20:16:28.423353,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3013608455657959,5.943512916564941,4,172.27.224.250_172.27.224.70,39,1.0,0.007941007614135742,0.0,22993,-0.0,38,11484,11509,1.0021769418321143,0,0.0
119,1535069788.431294,2018-08-23T20:16:28.431294,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.007941007614135742,5.951453924179077,4,172.27.224.250_172.27.224.70,40,1.0,0.007941007614135742,0.0,22993,-0.0,39,11484,11509,1.0021769418321143,0,0.0
121,1535069788.735645,2018-08-23T20:16:28.735645,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3043510913848877,6.255805015563965,4,172.27.224.250_172.27.224.70,41,1.0,0.006319999694824219,0.0,22993,-0.0,40,11484,11509,1.0021769418321143,0,0.0
122,1535069788.741965,2018-08-23T20:16:28.741965,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.006319999694824219,6.262125015258789,4,172.27.224.250_172.27.224.70,42,1.0,0.006319999694824219,0.0,22993,-0.0,41,11484,11509,1.0021769418321143,0,0.0
130,1535069789.047283,2018-08-23T20:16:29.047283,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30531787872314453,6.567442893981934,4,172.27.224.250_172.27.224.70,43,1.0,0.0046291351318359375,0.0,22993,-0.0,42,11484,11509,1.0021769418321143,0,0.0
131,1535069789.051912,2018-08-23T20:16:29.051912,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0046291351318359375,6.5720720291137695,4,172.27.224.250_172.27.224.70,44,1.0,0.0046291351318359375,0.0,22993,-0.0,43,11484,11509,1.0021769418321143,0,0.0
133,1535069789.370238,2018-08-23T20:16:29.370238,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3183259963989258,6.890398025512695,4,172.27.224.250_172.27.224.70,45,1.0,0.01104283332824707,0.0,22993,-0.0,44,11484,11509,1.0021769418321143,0,0.0
134,1535069789.381281,2018-08-23T20:16:29.381281,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.01104283332824707,6.901440858840942,4,172.27.224.250_172.27.224.70,46,1.0,0.01104283332824707,0.0,22993,-0.0,45,11484,11509,1.0021769418321143,0,0.0
136,1535069789.671385,2018-08-23T20:16:29.671385,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.2901041507720947,7.191545009613037,4,172.27.224.250_172.27.224.70,47,1.0,0.010575056076049805,0.0,22993,-0.0,46,11484,11509,1.0021769418321143,0,0.0
137,1535069789.68196,2018-08-23T20:16:29.681960,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.010575056076049805,7.202120065689087,4,172.27.224.250_172.27.224.70,48,1.0,0.010575056076049805,0.0,22993,-0.0,47,11484,11509,1.0021769418321143,0,0.0
139,1535069789.983333,2018-08-23T20:16:29.983333,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3013730049133301,7.503493070602417,4,172.27.224.250_172.27.224.70,49,1.0,0.007968902587890625,0.0,22993,-0.0,48,11484,11509,1.0021769418321143,0,0.0
140,1535069789.991302,2018-08-23T20:16:29.991302,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.007968902587890625,7.511461973190308,4,172.27.224.250_172.27.224.70,50,1.0,0.007968902587890625,0.0,22993,-0.0,49,11484,11509,1.0021769418321143,0,0.0
143,1535069790.295292,2018-08-23T20:16:30.295292,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30398988723754883,7.8154518604278564,4,172.27.224.250_172.27.224.70,51,1.0,0.006651163101196289,0.0,22993,-0.0,50,11484,11509,1.0021769418321143,0,0.0
144,1535069790.301943,2018-08-23T20:16:30.301943,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.006651163101196289,7.822103023529053,4,172.27.224.250_172.27.224.70,52,1.0,0.006651163101196289,0.0,22993,-0.0,51,11484,11509,1.0021769418321143,0,0.0
164,1535069790.412144,2018-08-23T20:16:30.412144,Modbus/TCP,172.27.224.250,172.27.224.251,502,52089,12,1,0,6,1,6,6.0,,,,,66,0,1,0,Write Single Register,0.11020088195800781,7.9323039054870605,3,172.27.224.250_172.27.224.251,3,1.0,,0.0,1241,-0.0,2,0,1241,1241.0,0,0.0
166,1535069790.60727,2018-08-23T20:16:30.607270,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.19512605667114258,8.127429962158203,4,172.27.224.250_172.27.224.70,53,1.0,0.004127025604248047,0.0,22993,-0.0,52,11484,11509,1.0021769418321143,0,0.0
167,1535069790.611397,2018-08-23T20:16:30.611397,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.004127025604248047,8.131556987762451,4,172.27.224.250_172.27.224.70,54,1.0,0.004127025604248047,0.0,22993,-0.0,53,11484,11509,1.0021769418321143,0,0.0
170,1535069790.919402,2018-08-23T20:16:30.919402,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30800485610961914,8.43956184387207,4,172.27.224.250_172.27.224.70,55,1.0,0.0026161670684814453,0.0,22993,-0.0,54,11484,11509,1.0021769418321143,0,0.0
171,1535069790.922018,2018-08-23T20:16:30.922018,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0026161670684814453,8.442178010940552,4,172.27.224.250_172.27.224.70,56,1.0,0.0026161670684814453,0.0,22993,-0.0,55,11484,11509,1.0021769418321143,0,0.0
173,1535069791.231451,2018-08-23T20:16:31.231451,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3094329833984375,8.75161099433899,4,172.27.224.250_172.27.224.70,57,1.0,0.009927988052368164,0.0,22993,-0.0,56,11484,11509,1.0021769418321143,0,0.0
174,1535069791.241379,2018-08-23T20:16:31.241379,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.009927988052368164,8.761538982391357,4,172.27.224.250_172.27.224.70,58,1.0,0.009927988052368164,0.0,22993,-0.0,57,11484,11509,1.0021769418321143,0,0.0
176,1535069791.543327,2018-08-23T20:16:31.543327,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30194807052612305,9.06348705291748,4,172.27.224.250_172.27.224.70,59,1.0,0.008708953857421875,0.0,22993,-0.0,58,11484,11509,1.0021769418321143,0,0.0
177,1535069791.552036,2018-08-23T20:16:31.552036,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.008708953857421875,9.072196006774902,4,172.27.224.250_172.27.224.70,60,1.0,0.008708953857421875,0.0,22993,-0.0,59,11484,11509,1.0021769418321143,0,0.0
186,1535069791.855284,2018-08-23T20:16:31.855284,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30324792861938477,9.375443935394287,4,172.27.224.250_172.27.224.70,61,1.0,0.0066950321197509766,0.0,22993,-0.0,60,11484,11509,1.0021769418321143,0,0.0
187,1535069791.861979,2018-08-23T20:16:31.861979,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0066950321197509766,9.382138967514038,4,172.27.224.250_172.27.224.70,62,1.0,0.0066950321197509766,0.0,22993,-0.0,61,11484,11509,1.0021769418321143,0,0.0
189,1535069792.167643,2018-08-23T20:16:32.167643,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.3056640625,9.687803030014038,4,172.27.224.250_172.27.224.70,63,1.0,0.0036449432373046875,0.0,22993,-0.0,62,11484,11509,1.0021769418321143,0,0.0
190,1535069792.171288,2018-08-23T20:16:32.171288,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0036449432373046875,9.691447973251343,4,172.27.224.250_172.27.224.70,64,1.0,0.0036449432373046875,0.0,22993,-0.0,63,11484,11509,1.0021769418321143,0,0.0
193,1535069792.479341,2018-08-23T20:16:32.479341,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30805301666259766,9.99950098991394,4,172.27.224.250_172.27.224.70,65,1.0,0.0026390552520751953,0.0,22993,-0.0,64,11484,11509,1.0021769418321143,0,0.0
194,1535069792.48198,2018-08-23T20:16:32.481980,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0026390552520751953,10.002140045166016,4,172.27.224.250_172.27.224.70,66,1.0,0.0026390552520751953,0.0,22993,-0.0,65,11484,11509,1.0021769418321143,0,0.0
196,1535069792.791236,2018-08-23T20:16:32.791236,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30925583839416504,10.31139588356018,4,172.27.224.250_172.27.224.70,67,1.0,0.010125160217285156,0.0,22993,-0.0,66,11484,11509,1.0021769418321143,0,0.0
197,1535069792.801361,2018-08-23T20:16:32.801361,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.010125160217285156,10.321521043777466,4,172.27.224.250_172.27.224.70,68,1.0,0.010125160217285156,0.0,22993,-0.0,67,11484,11509,1.0021769418321143,0,0.0
199,1535069793.103494,2018-08-23T20:16:33.103494,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.30213284492492676,10.623653888702393,4,172.27.224.250_172.27.224.70,69,1.0,0.0084991455078125,0.0,22993,-0.0,68,11484,11509,1.0021769418321143,0,0.0
200,1535069793.111993,2018-08-23T20:16:33.111993,Modbus/TCP,172.27.224.250,172.27.224.70,502,49499,31,0,0,25,1,3,,,,22.0,,85,0,1,0,Read Holding Registers,0.0084991455078125,10.632153034210205,4,172.27.224.250_172.27.224.70,70,1.0,0.0084991455078125,0.0,22993,-0.0,69,11484,11509,1.0021769418321143,0,0.0
220,1535069793.311859,2018-08-23T20:16:33.311859,Modbus/TCP,172.27.224.250,172.27.224.251,502,52090,12,1,0,6,1,6,6.0,,,,,66,0,1,0,Write Single Register,0.19986581802368164,10.832018852233887,3,172.27.224.250_172.27.224.251,4,1.0,,0.0,1241,-0.0,3,0,1241,1241.0,0,0.0
222,1535069793.415271,2018-08-23T20:16:33.415271,Modbus/TCP,172.27.224.70,172.27.224.250,49499,502,12,0,0,6,1,3,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.10341215133666992,10.935431003570557,4,172.27.224.250_172.27.224.70,71,1.0,0.006114959716796875,0.0,22993,-0.0,70,11484,11509,1.0021769418321143,0,0.0
