packet_number,timestamp,datetime,protocols,src_ip,dst_ip,src_port,dst_port,tcp_len,transaction_id,protocol_id,modbus_length,unit_id,function_code,reference_num,word_count,bit_count,byte_count,exception_code,pkt_len,is_request,is_response,is_exception,function_name,inter_arrival_time,time_from_start,rolling_iat_mean,rolling_iat_std,flow_id,flow_pkt_count,unique_func_codes
13,1535066156.224725,2018-08-23T19:15:56.224725,STP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.14546608924865723,1.0967390537261963,0.10848391056060791,0.08427509203652568,None_None,1,
14,1535066156.287967,2018-08-23T19:15:56.287967,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.06324195861816406,1.1599810123443604,0.0935971975326538,0.07674860449131922,172.27.224.250_172.27.224.70,12,1.0
15,1535066156.382174,2018-08-23T19:15:56.382174,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.0942070484161377,1.254188060760498,0.09358689785003663,0.0767485051086359,172.27.224.250_172.27.224.70,13,1.0
16,1535066156.389943,2018-08-23T19:15:56.389943,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.007768869400024414,1.2619569301605225,0.0940706968307495,0.07612626723919749,172.27.224.250_172.27.224.70,14,1.0
17,1535066156.507281,2018-08-23T19:15:56.507281,UDP,172.27.224.70,255.255.255.255,,,,,,,,,,,,,,82,0,0,0,Unknown,0.11733818054199219,1.3792951107025146,0.08432910442352295,0.06427785322046992,172.27.224.70_255.255.255.255,1,
18,1535066156.555456,2018-08-23T19:15:56.555456,ARP,,,,,,,,,,,,,,,,60,0,0,0,Unknown,0.04817485809326172,1.4274699687957764,0.07972259521484375,0.06513361235430978,None_None,2,
19,1535066156.557853,2018-08-23T19:15:56.557853,ARP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.0023970603942871094,1.4298670291900635,0.07879419326782226,0.06626752040635112,None_None,3,
20,1535066156.55786,2018-08-23T19:15:56.557860,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,6.9141387939453125e-06,1.4298739433288574,0.05818819999694824,0.05300471233117598,172.27.224.250_172.27.224.251,2,
21,1535066156.568125,2018-08-23T19:15:56.568125,TCP,172.27.224.250,172.27.224.251,502.0,50835.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.010265111923217773,1.4401390552520752,0.049795889854431154,0.0533143804633663,172.27.224.250_172.27.224.251,3,
22,1535066156.568132,2018-08-23T19:15:56.568132,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,6.9141387939453125e-06,1.4401459693908691,0.04888730049133301,0.05415590082042758,172.27.224.250_172.27.224.251,4,
23,1535066156.569241,2018-08-23T19:15:56.569241,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0011091232299804688,1.4412550926208496,0.03445160388946533,0.04380151286557924,172.27.224.250_172.27.224.251,5,
24,1535066156.569463,2018-08-23T19:15:56.569463,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002219676971435547,1.4414770603179932,0.02814960479736328,0.043732500381685864,172.27.224.250_172.27.224.251,6,
25,1535066156.569711,2018-08-23T19:15:56.569711,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.000247955322265625,1.4417250156402588,0.018753695487976074,0.03763105894395207,172.27.224.250_172.27.224.251,7,
26,1535066156.56996,2018-08-23T19:15:56.569960,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002491474151611328,1.44197416305542,0.018001723289489745,0.03794874708590869,172.27.224.250_172.27.224.251,8,
27,1535066156.570207,2018-08-23T19:15:56.570207,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024700164794921875,1.4422211647033691,0.006292605400085449,0.015045968940118283,172.27.224.250_172.27.224.251,9,
28,1535066156.570462,2018-08-23T19:15:56.570462,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002548694610595703,1.4424760341644287,0.0015006065368652344,0.003164547811937302,172.27.224.250_172.27.224.251,10,
29,1535066156.570708,2018-08-23T19:15:56.570708,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002460479736328125,1.4427220821380615,0.0012855052947998047,0.003169943355838939,172.27.224.250_172.27.224.251,11,
30,1535066156.570957,2018-08-23T19:15:56.570957,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024890899658203125,1.4429709911346436,0.0013097047805786133,0.003160006123467866,172.27.224.250_172.27.224.251,12,
31,1535066156.571205,2018-08-23T19:15:56.571205,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.000247955322265625,1.4432189464569092,0.0003079891204833984,0.00029143333298746465,172.27.224.250_172.27.224.251,13,
32,1535066156.571458,2018-08-23T19:15:56.571458,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002532005310058594,1.443472146987915,0.0003326177597045898,0.00027298563951330424,172.27.224.250_172.27.224.251,14,
33,1535066156.571708,2018-08-23T19:15:56.571708,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002498626708984375,1.4437220096588135,0.00024669170379638673,9.099590588953429e-06,172.27.224.250_172.27.224.251,15,
34,1535066156.571955,2018-08-23T19:15:56.571955,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024700164794921875,1.4439690113067627,0.00024919509887695314,2.81607747472002e-06,172.27.224.250_172.27.224.251,16,
35,1535066156.580498,2018-08-23T19:15:56.580498,TCP,172.27.224.250,172.27.224.251,502.0,50835.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.008543014526367188,1.4525120258331299,0.0010787010192871093,0.002622693903676653,172.27.224.250_172.27.224.251,17,
36,1535066156.588967,2018-08-23T19:15:56.588967,TCP,172.27.224.250,172.27.224.251,502.0,50835.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.008469104766845703,1.4609811305999756,0.0019006967544555665,0.003481376616207735,172.27.224.250_172.27.224.251,18,
37,1535066156.589793,2018-08-23T19:15:56.589793,Modbus/TCP,172.27.224.250,172.27.224.251,502.0,50835.0,12.0,1.0,0.0,6.0,1.0,6.0,6.0,,,,,66,0,1,0,Write Single Register,0.0008258819580078125,1.4618070125579834,0.0019585847854614257,0.003455540758372218,172.27.224.250_172.27.224.251,19,1.0
38,1535066156.59994,2018-08-23T19:15:56.599940,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.0101470947265625,1.471954107284546,0.0029478073120117188,0.004240417883934296,172.27.224.250_172.27.224.70,15,1.0
39,1535066156.694134,2018-08-23T19:15:56.694134,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09419393539428711,1.566148042678833,0.012342596054077148,0.029055055260808267,172.27.224.250_172.27.224.70,16,1.0
40,1535066156.699303,2018-08-23T19:15:56.699303,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.005168914794921875,1.5713169574737549,0.012834596633911132,0.02886857175456336,172.27.224.250_172.27.224.70,17,1.0
41,1535066156.792067,2018-08-23T19:15:56.792067,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.09276413917541504,1.66408109664917,0.022086215019226075,0.037822588371745444,172.27.224.250_172.27.224.251,20,1.0
42,1535066156.896345,2018-08-23T19:15:56.896345,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.1042778491973877,1.7683589458465576,0.032488679885864256,0.04481022350419592,172.27.224.250_172.27.224.70,18,1.0
43,1535066157.006113,2018-08-23T19:15:57.006113,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.10976815223693848,1.878127098083496,0.043440508842468264,0.04922166992399146,172.27.224.250_172.27.224.70,19,1.0
44,1535066157.009974,2018-08-23T19:15:57.009974,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.003860950469970703,1.8819880485534668,0.04380190372467041,0.04888138867088537,172.27.224.250_172.27.224.70,20,1.0
45,1535066157.208356,2018-08-23T19:15:57.208356,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.19838190078735352,2.0803699493408203,0.06278579235076905,0.0671254359607338,172.27.224.250_172.27.224.70,21,1.0
46,1535066157.318212,2018-08-23T19:15:57.318212,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.10985612869262695,2.1902260780334473,0.07292449474334717,0.06565041975617737,172.27.224.250_172.27.224.70,22,1.0
47,1535066157.329312,2018-08-23T19:15:57.329312,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.011100053787231445,2.2013261318206787,0.07395191192626953,0.06446643760795989,172.27.224.250_172.27.224.70,23,1.0
48,1535066157.535957,2018-08-23T19:15:57.535957,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20664501190185547,2.407971143722534,0.09360170364379883,0.07232531072143482,172.27.224.250_172.27.224.70,24,1.0
49,1535066157.63025,2018-08-23T19:15:57.630250,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09429287910461426,2.5022640228271484,0.09361159801483154,0.0723254075109727,172.27.224.250_172.27.224.70,25,1.0
50,1535066157.640004,2018-08-23T19:15:57.640004,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.009753942489624023,2.5120179653167725,0.09407010078430175,0.07171438494457283,172.27.224.250_172.27.224.70,26,1.0
51,1535066157.847962,2018-08-23T19:15:57.847962,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20795798301696777,2.7199759483337402,0.10558948516845704,0.08022770309121122,172.27.224.250_172.27.224.70,27,1.0
52,1535066157.942381,2018-08-23T19:15:57.942381,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09441900253295898,2.814394950866699,0.10460360050201416,0.08030614940979715,172.27.224.250_172.27.224.70,28,1.0
53,1535066157.949301,2018-08-23T19:15:57.949301,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.0069200992584228516,2.821315050125122,0.0943187952041626,0.08595820710457353,172.27.224.250_172.27.224.70,29,1.0
54,1535066158.008228,2018-08-23T19:15:58.008228,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.058927059173583984,2.880242109298706,0.09982540607452392,0.08114872901737756,172.27.224.250_172.27.224.251,21,1.0
55,1535066158.018041,2018-08-23T19:15:58.018041,TCP,172.27.224.250,172.27.224.251,502.0,50835.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.00981283187866211,2.890054941177368,0.08096849918365479,0.07753070895429359,172.27.224.250_172.27.224.251,22,1.0
56,1535066158.01928,2018-08-23T19:15:58.019280,TCP,172.27.224.250,172.27.224.251,502.0,50835.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.0012390613555908203,2.891294002532959,0.07010679244995117,0.08058233805978969,172.27.224.250_172.27.224.251,23,1.0
57,1535066158.019285,2018-08-23T19:15:58.019285,TCP,172.27.224.251,172.27.224.250,50835.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,5.0067901611328125e-06,2.89129900932312,0.06899728775024414,0.08155555298413604,172.27.224.250_172.27.224.251,24,1.0
58,1535066158.019439,2018-08-23T19:15:58.019439,TCP,172.27.224.250,172.27.224.251,502.0,50835.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.00015401840209960938,2.8914530277252197,0.048348188400268555,0.06781545278974686,172.27.224.250_172.27.224.251,25,1.0
59,1535066158.028001,2018-08-23T19:15:58.028001,TCP,172.27.224.250,172.27.224.251,502.0,50835.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.008562088012695312,2.900015115737915,0.03977510929107666,0.06677280139873397,172.27.224.250_172.27.224.251,26,1.0
60,1535066158.159918,2018-08-23T19:15:58.159918,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.13191699981689453,3.0319321155548096,0.05199141502380371,0.07166584444156976,172.27.224.250_172.27.224.70,30,1.0
61,1535066158.224429,2018-08-23T19:15:58.224429,STP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.06451082229614258,3.096442937850952,0.037646698951721194,0.04713738286553381,None_None,4,
62,1535066158.254202,2018-08-23T19:15:58.254202,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.02977299690246582,3.126215934753418,0.031182098388671874,0.04271141650184895,172.27.224.250_172.27.224.70,31,1.0
63,1535066158.259939,2018-08-23T19:15:58.259939,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.0057370662689208984,3.131953001022339,0.03106379508972168,0.04278765527763984,172.27.224.250_172.27.224.70,32,1.0
64,1535066158.471957,2018-08-23T19:15:58.471957,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.21201801300048828,3.343971014022827,0.04637289047241211,0.07157081534113242,172.27.224.250_172.27.224.70,33,1.0
65,1535066158.566083,2018-08-23T19:15:58.566083,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09412598609924316,3.4380970001220703,0.054804205894470215,0.07175133288537787,172.27.224.250_172.27.224.70,34,1.0
66,1535066158.569308,2018-08-23T19:15:58.569308,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.003225088119506836,3.441322088241577,0.055002808570861816,0.07158915978476427,172.27.224.250_172.27.224.70,35,1.0
67,1535066158.768322,2018-08-23T19:15:58.768322,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.19901394844055176,3.640336036682129,0.07490370273590088,0.08156733040757996,172.27.224.250_172.27.224.70,36,1.0
68,1535066158.878343,2018-08-23T19:15:58.878343,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.11002111434936523,3.750357151031494,0.08589041233062744,0.07768719608619332,172.27.224.250_172.27.224.70,37,1.0
69,1535066158.889959,2018-08-23T19:15:58.889959,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.011615991592407227,3.7619731426239014,0.08619580268859864,0.07735473204162416,172.27.224.250_172.27.224.70,38,1.0
70,1535066159.095918,2018-08-23T19:15:59.095918,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20595884323120117,3.9679319858551025,0.0935999870300293,0.08534786964641237,172.27.224.250_172.27.224.70,39,1.0
71,1535066159.190148,2018-08-23T19:15:59.190148,Modbus/TCP,172.27.224.70,172.27.224.250,49499.0,502.0,12.0,0.0,0.0,6.0,1.0,3.0,0.0,11.0,,,,66,1,0,0,Read Holding Registers,0.09423017501831055,4.062162160873413,0.0965719223022461,0.08473764958715019,172.27.224.250_172.27.224.70,40,1.0
72,1535066159.199311,2018-08-23T19:15:59.199311,Modbus/TCP,172.27.224.250,172.27.224.70,502.0,49499.0,31.0,0.0,0.0,25.0,1.0,3.0,,,,22.0,,85,0,1,0,Read Holding Registers,0.00916290283203125,4.071325063705444,0.09451091289520264,0.08676916116942551,172.27.224.250_172.27.224.70,41,1.0
73,1535066159.407907,2018-08-23T19:15:59.407907,TCP,172.27.224.70,172.27.224.250,49499.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,0.20859599113464355,4.279921054840088,0.1147968053817749,0.08741943647516376,172.27.224.250_172.27.224.70,42,1.0
74,1535066159.455995,2018-08-23T19:15:59.455995,ARP,,,,,,,,,,,,,,,,60,0,0,0,Unknown,0.04808807373046875,4.328009128570557,0.09840381145477295,0.08238811270207919,None_None,5,
75,1535066159.457945,2018-08-23T19:15:59.457945,ARP,,,,,,,,,,,,,,,,64,0,0,0,Unknown,0.0019500255584716797,4.329959154129028,0.0891862154006958,0.08789235985333313,None_None,6,
76,1535066159.457952,2018-08-23T19:15:59.457952,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,6.9141387939453125e-06,4.329966068267822,0.08886439800262451,0.08824725302052781,172.27.224.250_172.27.224.251,27,1.0
77,1535066159.468175,2018-08-23T19:15:59.468175,TCP,172.27.224.250,172.27.224.251,502.0,50836.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.010222911834716797,4.340188980102539,0.06998529434204101,0.08204033786008408,172.27.224.250_172.27.224.251,28,1.0
78,1535066159.468182,2018-08-23T19:15:59.468182,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,0.0,,,,,,,,,,,60,1,0,0,Unknown,7.152557373046875e-06,4.340196132659912,0.058983898162841795,0.0834394787927353,172.27.224.250_172.27.224.251,29,1.0
79,1535066159.468707,2018-08-23T19:15:59.468707,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0005249977111816406,4.340721130371094,0.05787479877471924,0.08420922557366943,172.27.224.250_172.27.224.251,30,1.0
80,1535066159.468931,2018-08-23T19:15:59.468931,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002238750457763672,4.34094500541687,0.03730130195617676,0.06748069692408307,172.27.224.250_172.27.224.251,31,1.0
81,1535066159.469186,2018-08-23T19:15:59.469186,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002551078796386719,4.341200113296509,0.02790379524230957,0.06517599481344491,172.27.224.250_172.27.224.251,32,1.0
82,1535066159.469429,2018-08-23T19:15:59.469429,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002429485321044922,4.341443061828613,0.027011799812316894,0.065521105618487,172.27.224.250_172.27.224.251,33,1.0
83,1535066159.469679,2018-08-23T19:15:59.469679,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00025010108947753906,4.341693162918091,0.006177210807800293,0.015054370069473005,172.27.224.250_172.27.224.251,34,1.0
84,1535066159.469925,2018-08-23T19:15:59.469925,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024580955505371094,4.3419389724731445,0.0013929843902587891,0.0031531182000814157,172.27.224.250_172.27.224.251,35,1.0
85,1535066159.470177,2018-08-23T19:15:59.470177,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00025200843811035156,4.342190980911255,0.0012231826782226562,0.003165483893136423,172.27.224.250_172.27.224.251,36,1.0
86,1535066159.470428,2018-08-23T19:15:59.470428,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002510547637939453,4.342442035675049,0.0012475967407226563,0.0031559882684770875,172.27.224.250_172.27.224.251,37,1.0
87,1535066159.470675,2018-08-23T19:15:59.470675,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024700164794921875,4.342689037322998,0.0002500057220458984,0.0001226506577612599,172.27.224.250_172.27.224.251,38,1.0
88,1535066159.470922,2018-08-23T19:15:59.470922,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.00024700164794921875,4.342936038970947,0.00027399063110351564,8.861104827525349e-05,172.27.224.250_172.27.224.251,39,1.0
89,1535066159.471173,2018-08-23T19:15:59.471173,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002510547637939453,4.343187093734741,0.0002465963363647461,8.719625409364061e-06,172.27.224.250_172.27.224.251,40,1.0
90,1535066159.471426,2018-08-23T19:15:59.471426,TCP,172.27.224.251,172.27.224.250,50836.0,502.0,1.0,,,,,,,,,,,60,1,0,0,Unknown,0.0002529621124267578,4.343440055847168,0.00024950504302978516,3.711051359760113e-06,172.27.224.250_172.27.224.251,41,1.0
91,1535066159.479647,2018-08-23T19:15:59.479647,TCP,172.27.224.250,172.27.224.251,502.0,50836.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.008220911026000977,4.351660966873169,0.0010460853576660157,0.00252097873242452,172.27.224.250_172.27.224.251,42,1.0
92,1535066159.489315,2018-08-23T19:15:59.489315,TCP,172.27.224.250,172.27.224.251,502.0,50836.0,0.0,,,,,,,,,,,60,0,1,0,Unknown,0.009668111801147461,4.361329078674316,0.0019886016845703123,0.003681921975314566,172.27.224.250_172.27.224.251,43,1.0
93,1535066159.490187,2018-08-23T19:15:59.490187,Modbus/TCP,172.27.224.250,172.27.224.251,502.0,50836.0,12.0,1.0,0.0,6.0,1.0,6.0,6.0,,,,,66,0,1,0,Write Single Register,0.0008718967437744141,4.362200975418091,0.00205078125,0.003654448240961944,172.27.224.250_172.27.224.251,44,1.0
